GP,Equipment Name,Daily,Weekly,Monthly
AC,5 Ton AC Unit,337.5,675.0,2025.0
AC,10 Ton AC Unit,625.0,1250.0,3750.0
AC,20 Ton AC Unit,780.0,1560.0,4691.0
AC,25 Ton AC Unit w/Trailer,862.5,1725.0,5175.0
AC,Evaporative Cooler,150.0,300.0,900.0
Distro,50A Spider Box,75.0,150.0,450.0
Distro,100A Quad Panel,100.0,200.0,600.0
Distro,100A California Panel,125.0,250.0,750.0
Distro,200A Quad Panel,200.0,400.0,1200.0
Distro,200A California Panel,200.0,400.0,1200.0
Distro,200A Disconnect,150.0,300.0,900.0
Distro,208V Splitter Panel,200.0,400.0,1200.0
Distro,480V Splitter Panel,125.0,250.0,750.0
Distro,30A RV Panel,125.0,250.0,750.0
Distro,30A Twist Lock 480V,125.0,250.0,750.0
Gens,10kW Diesel,150.0,300.0,900.0
Gens,20kW Diesel,315.0,630.0,1890.0
Gens,20kW Propane,330.0,660.0,1980.0
Gens,36kW Diesel,350.0,700.0,2100.0
Gens,60kW Diesel,400.0,800.0,2400.0
Gens,80kW Diesel,450.0,900.0,2700.0
Gens,95kW Diesel,500.0,1000.0,3000.0
Gens,125kW Diesel,600.0,1200.0,3600.0
Gens,250kW Diesel,1066.0,3200.0,9600.0
Cable,Banded 2/0 50ft,38.0,75.0,225.0
Cable,4/0 Feeder 50ft,14.0,28.0,84.0
Cable,50A Spider Box Cable 50ft,15.0,30.0,90.0
Cable,50A Spider Box Cable 100ft,30.0,60.0,180.0
Cable,Quad Stringer 50ft,30.0,60.0,180.0
Cable,30A Extension 50ft,25.0,50.0,150.0
Cable,30A Extension 100ft,38.0,75.0,225.0
